front,back
"NCP-AIO exam format","~30 multiple-choice questions PLUS 3 hands-on lab exercises, 120 minutes total, $500, valid 2 years"
"NCP-AIO domain weights","Installation & Deployment 31%; Administration 23%; Workload Management 23%; Troubleshooting & Optimization 23%"
"BCM: what runs on the head node?","CMDaemon (management), provisioning services (PXE/TFTP/DHCP), monitoring, software image store; optionally HA pair via cmha"
"BCM: node category vs software image","Image = the OS filesystem provisioned to nodes; category = group of nodes sharing settings incl. which image, disk layout, network config"
"BCM: node provisioning sequence","PXE boot from provisioning node -> node-installer environment -> identify node/category -> partition disk -> sync software image -> boot into installed OS -> report to CMDaemon"
"BCM: CLI and GUI names","cmsh (shell) and Base View (GUI); both talk to CMDaemon on the head node"
"cmsh: list all devices (one-liner)","cmsh -c ""device; list"""
"cmsh: make a config change persist","Run commit after set/add; uncommitted changes are staged only"
"cmsh: main modes to know","device, category, softwareimage, network, user, partition, monitoring, main"
"cmsh: power on node003","device mode: power -n node003 on (via the node's BMC/IPMI)"
"BCM: correct way to patch packages on all compute nodes","Chroot into the software image (cm-chroot-sw-img), update packages there, then imageupdate or reboot nodes — never hand-patch live nodes"
"BCM: preview what imageupdate would change","imageupdate --dry-run (shows the rsync delta between image and node)"
"BCM: wizard that deploys Slurm","cm-wlm-setup"
"BCM: wizard that deploys Kubernetes","cm-kubernetes-setup"
"BCM: where are BCM users stored?","BCM-managed LDAP, administered via cmsh user mode (add/set/commit) or Base View"
"BCM: node stuck in node-installer — first checks","DHCP/PXE/TFTP reachability on the provisioning network; node identification/category and image assignment; CMDaemon log /var/log/cmdaemon and BMC console"
"BCM licensing/free tier","No free tier; product license per node — study via Administrator Manual docs, drill equivalents on plain Slurm/K8s"
"Slurm: three core daemons and location","slurmctld (controller node), slurmd (every compute node), slurmdbd (accounting DB front-end, fronts MySQL/MariaDB)"
"Slurm: what is munge?","Authentication service; identical /etc/munge/munge.key on all nodes and synced clocks are required or RPCs fail"
"Slurm: config line enabling GPU tracking cluster-wide","GresTypes=gpu in slurm.conf plus Gres=gpu:<type>:<count> on NodeName lines"
"Slurm: SelectType for GPU scheduling","select/cons_tres (trackable resources incl. GPUs, per-CPU/memory allocation)"
"gres.conf: two ways to define GPUs","AutoDetect=nvml (NVML discovery) or explicit: Name=gpu Type=a100 File=/dev/nvidia0 [Cores=...]"
"Slurm: minimal node + partition lines for 1-GPU node","NodeName=node01 CPUs=8 RealMemory=30000 Gres=gpu:l4:1 State=UNKNOWN / PartitionName=gpu Nodes=node01 Default=YES State=UP"
"Slurm: upgrade order and why","slurmdbd -> slurmctld -> slurmd; newer daemons accept older RPC (two versions back), not vice versa"
"kubeadm: cluster bring-up sequence","Install containerd -> kubeadm init --pod-network-cidr -> install CNI plugin -> kubeadm join workers"
"kubeadm: pods Pending / node NotReady right after init","No CNI installed — kubeadm never installs one; apply Calico/Flannel/Cilium matching the pod CIDR"
"GPU Operator: component stack in dependency order","NFD/GFD labels -> driver DaemonSet -> container toolkit -> device plugin -> DCGM exporter (+ MIG Manager, validators)"
"GPU Operator: install command","helm repo add nvidia https://helm.ngc.nvidia.com/nvidia && helm install gpu-operator nvidia/gpu-operator -n gpu-operator --create-namespace"
"GPU Operator: when to set driver.enabled=false","Host already has the NVIDIA driver (DGX OS, cloud GPU images, admin-managed) — operator then skips the driver DaemonSet"
"GPU Operator: what does the device plugin do?","Advertises nvidia.com/gpu (or MIG resources) to kubelet so pods can request GPUs via resources.limits"
"GPU Operator: what does the container toolkit component do?","Installs nvidia-container-runtime on the node and rewrites containerd config so containers can be injected with GPU devices"
"What is CDI?","Container Device Interface — vendor-neutral JSON specs describing device nodes/mounts/hooks; nvidia-ctk generates them; modern replacement for runtime hook injection"
"GPU Operator: single CRD that configures everything","ClusterPolicy (driver version, toolkit, device plugin config, mig.strategy, dcgm exporter...)"
"dcgm-exporter: port and endpoint","9400, /metrics (Prometheus format)"
"DCGM metric names: GPU util / FB memory used / Xid count","DCGM_FI_DEV_GPU_UTIL, DCGM_FI_DEV_FB_USED, DCGM_FI_DEV_XID_ERRORS"
"Four networks in a GPU cluster","Management/provisioning (PXE, BCM, SSH); out-of-band BMC/IPMI; high-speed compute fabric (IB/RoCE, NCCL); storage network"
"Rail-optimized topology","Each of the 8 NICs per node connects to its own leaf plane so GPU i talks to GPU i one hop away — matches NCCL ring/tree traffic, avoids congestion"
"K8s: driver upgrade strategy with GPU Operator","Bump driver version in ClusterPolicy; operator rolls node by node (drain/reload) — no manual per-node installs"
"Slurm: give user alice access under account research","sacctmgr add account research; sacctmgr add user alice account=research (association required when enforcement is on)"
"NVIDIA official prep resources for NCP-AIO","DLI 'AI Infrastructure and Operations' courses, BCM Administrator Manual, GPU Operator docs, Run:ai docs, Slurm/DCGM docs"
"Slurm: drain a node with a reason / return to service","scontrol update nodename=gpu01 state=drain reason=""maint"" ; scontrol update nodename=gpu01 state=resume"
"sinfo states: idle / mix / alloc / drain","idle=free, mix=partially allocated, alloc=fully allocated, drain(ing)=no new work (drng while jobs finish)"
"Slurm: create QOS with 30min wall limit and 2-GPU-per-user cap","sacctmgr add qos short MaxWall=00:30:00 MaxTRESPerUser=gres/gpu=2; attach: sacctmgr modify account X set qos+=short"
"Slurm: what is an association?","(cluster, account, user[, partition]) record in slurmdbd carrying limits, fairshare and QOS; without one, submissions can be rejected"
"Slurm fairshare in one line","priority/multifactor weighs recent decayed usage vs allocated share — heavy users sink, underserved accounts rise"
"sacct vs sreport","sacct = per-job accounting records; sreport = aggregated usage reports (by cluster/account/user over time)"
"Slurm preemption via QOS","PreemptType=preempt/qos with QOS Preempt settings — higher QOS can requeue/cancel lower QOS jobs"
"Run:ai: project","Unit of quota assignment mapped to a Kubernetes namespace; workloads submit into a project; quotas set per project"
"Run:ai: department","Grouping level above projects; quotas can be set at department level and shared among its projects"
"Run:ai: over-quota","Projects can consume idle GPUs beyond their quota; that usage is preemptible and reclaimed when the owning project needs it"
"Run:ai: preemptible vs non-preemptible","Training/over-quota workloads are preemptible (evict + requeue); non-preemptible (e.g. inference/interactive within quota) cannot exceed quota"
"Run:ai: fractional GPU","Multiple workloads share one GPU with per-workload GPU memory limits enforced in software — no hardware isolation (contrast MIG)"
"Run:ai <-> KAI Scheduler relationship","KAI is the open-sourced scheduling core of Run:ai: queues with quota/over-quota weights, PodGroup gang scheduling, preemption/reclaim"
"KAI: how a pod joins a queue","Label kai.scheduler/queue: <queue-name> plus schedulerName: kai-scheduler; podgrouper auto-creates the PodGroup"
"Gang scheduling definition","All pods of a workload are placed atomically or none are — prevents deadlocked partial allocations of distributed jobs"
"K8s RBAC: Role vs ClusterRole","Role is namespaced; ClusterRole is cluster-wide and needed for cluster-scoped resources (e.g. nodes)"
"K8s: limit namespace team-a to 4 GPUs","ResourceQuota with spec.hard: requests.nvidia.com/gpu: ""4"" in that namespace"
"kubectl cordon vs drain","cordon = mark unschedulable only; drain = cordon + evict pods (respects PodDisruptionBudgets, needs --ignore-daemonsets)"
"MIG: GI vs CI","GPU Instance = hardware partition of memory+SM slices (fault isolated); Compute Instance = subdivision of a GI's SMs sharing its memory"
"A100-40GB MIG profiles","1g.5gb x7, 2g.10gb x3, 3g.20gb x2, 4g.20gb x1, 7g.40gb x1 (80GB card doubles memory per profile)"
